Isotope,Energy (keV),Sigma (b),DSigma (b)
171Yb,4592.8,0.0019,0.0004
171Yb,4611.3,0.0014,0.0004
171Yb,4631.6,0.0052,0.001
171Yb,4637.7,0.006,0.0011
171Yb,4652.5,0.0015,0.0003
171Yb,4658.5,0.0028,0.0006
171Yb,4672.6,0.005,0.001
171Yb,4684.6,0.0022,0.0006
171Yb,4710.7,0.00088,0.00018
171Yb,4719.0,0.0022,0.0005
171Yb,4730.0,0.0019,0.0004
171Yb,4736.1,0.0021,0.0005
171Yb,4759.0,0.0094,0.0019
171Yb,4764.8,0.0028,0.0006
171Yb,4813.7,0.00099,0.00019
171Yb,4843.6,0.00088,0.00018
171Yb,4878.0,0.0036,0.001
171Yb,4888.7,0.0074,0.0014
171Yb,4899.2,0.0046,0.0009
171Yb,4920.6,0.0031,0.0006
171Yb,4944.5,0.0021,0.0005
171Yb,4982.5,0.0034,0.0006
171Yb,4999.1,0.0017,0.0003
171Yb,5017.8,0.0026,0.0006
171Yb,5025.5,0.0023,0.0005
171Yb,5033.9,0.0016,0.0004
171Yb,5059.4,0.0026,0.0005
171Yb,5076.2,0.002,0.0003
171Yb,5102.8,0.0011,0.0003
171Yb,5131.9,0.00078,0.00018
171Yb,5147.0,0.0119,0.0017
171Yb,5157.4,0.0014,0.0005
171Yb,5174.9,0.0028,0.0006
171Yb,5184.6,0.0027,0.0006
171Yb,5200.7,0.0014,0.0003
171Yb,5211.18,0.0012,0.0004
171Yb,5231.58,0.0022,0.0004
171Yb,5237.8,0.0015,0.0005
171Yb,5242.4,0.0037,0.0007
171Yb,5252.88,0.00034,6e-05
171Yb,5271.9,0.0042,0.0006
171Yb,5286.4,0.0019,0.0003
171Yb,5318.9,0.00161,0.00024
171Yb,5342.23,0.00083,0.00018
171Yb,5351.09,0.0012,0.00017
171Yb,5391.29,0.0043,0.0007
171Yb,5411.56,0.002,0.0003
171Yb,5420.27,0.00034,6e-05
171Yb,5430.67,0.00034,8e-05
171Yb,5436.37,0.00043,8e-05
171Yb,5443.54,0.00146,0.00022
171Yb,5459.69,0.00078,0.00018
171Yb,5472.2,0.00042,0.00021
171Yb,5479.97,0.00043,9e-05
171Yb,5484.3,0.00053,9e-05
171Yb,5495.04,0.00097,0.00014
171Yb,5515.29,0.0031,0.0004
171Yb,5539.05,0.083,0.011
171Yb,5556.53,0.0017,0.0007
171Yb,5631.5,0.00034,7e-05
171Yb,5643.94,0.0044,0.0007
171Yb,5677.3,0.0021,0.0003
171Yb,5691.58,0.02,0.003
171Yb,5702.23,0.00151,0.00023
171Yb,5706.25,0.0022,0.0004
171Yb,5790.68,0.0028,0.0004
171Yb,5824.85,0.0172,0.0023
171Yb,5916.25,0.00172,0.00024
171Yb,5942.89,0.00103,0.00015
171Yb,5972.12,0.00057,0.00017
171Yb,6009.65,0.0148,0.0019
171Yb,6062.76,0.00106,0.00015
171Yb,6099.7,0.00035,0.0001
171Yb,6124.56,0.0049,0.0007
171Yb,6169.82,0.0072,0.001
171Yb,6225.06,0.0049,0.0007
171Yb,6410.62,0.00028,5e-05
171Yb,6419.2,0.00047,0.00016
171Yb,6542.32,0.0055,0.0007
171Yb,6553.15,0.0019,0.0003
171Yb,6614.1,0.0072,0.0009
171Yb,6820.6,0.0024,0.0003
171Yb,6864.13,0.0025,0.0003
171Yb,6901.23,0.0028,0.0003
171Yb,6976.18,0.0047,0.0006
171Yb,7940.33,0.00149,0.00019
171Yb,8019.07,0.0088,0.002
172Yb,77.1,0.0088,0.002
172Yb,399.17,0.111,0.012
172Yb,62.6,0.0014,0.0007
172Yb,461.9,0.0105,0.0024
172Yb,82.9,0.0039,0.0009
172Yb,141.6,0.0031,0.0007
172Yb,623.6,0.00071,0.00016
172Yb,632.1,0.0009,0.001
172Yb,568.7,0.0084,0.0019
172Yb,591.3,0.0018,0.0004
172Yb,611.4,0.0032,0.0007
172Yb,674.1,0.005,0.0011
172Yb,996.2,0.0013,0.0003
172Yb,769.1,0.0029,0.0007
172Yb,831.8,0.0019,0.0004
172Yb,706.5,0.00084,0.00019
172Yb,715.0,0.00076,0.00017
172Yb,1030.4,0.003,0.003
172Yb,4874.8,0.0023,0.0005
172Yb,5028.5,0.00101,0.00023
172Yb,5136.1,0.0024,0.0006
172Yb,5293.8,0.0093,0.0021
172Yb,5336.5,0.0109,0.0025
172Yb,5905.2,0.0016,0.0004
172Yb,5967.9,0.012,0.003
173Yb,76.99,0.4,0.04
173Yb,175.3,0.58,0.06
173Yb,274.9,0.044,0.006
173Yb,1129.81,0.128,0.017
173Yb,1308.53,0.168,0.019
173Yb,102.6,0.44,0.05
173Yb,138.27,0.058,0.007
173Yb,223.0,0.029,0.004
173Yb,1353.21,0.041,0.009
173Yb,1529.19,0.07,0.01
173Yb,1381.48,0.129,0.016
173Yb,1456.65,0.083,0.015
173Yb,148.72,0.031,0.005
173Yb,1638.36,0.22,0.03
173Yb,1480.63,0.05,0.012
173Yb,1533.99,0.103,0.013
173Yb,1552.0,0.032,0.009
173Yb,1730.9,0.03,0.008
173Yb,86.11,0.164,0.018
173Yb,1292.2,0.036,0.009
173Yb,216.1,0.008,0.003
173Yb,243.68,0.018,0.004
173Yb,1775.1,0.052,0.011
173Yb,1679.7,0.161,0.019
173Yb,411.48,0.021,0.004
173Yb,570.3,0.028,0.006
173Yb,198.29,0.023,0.004
173Yb,341.27,0.026,0.005
173Yb,1920.6,0.04,0.01
173Yb,2093.9,0.026,0.008
173Yb,684.74,0.052,0.008
173Yb,2171.4,0.059,0.012
173Yb,2003.14,0.045,0.01
173Yb,172.66,0.012,0.003
173Yb,661.5,0.024,0.006
173Yb,689.8,0.015,0.005
173Yb,88.26,0.044,0.008
173Yb,1055.83,0.037,0.007
173Yb,762.65,0.069,0.009
173Yb,2388.7,0.036,0.01
173Yb,3868.0,0.103,0.014
173Yb,4716.5,0.027,0.008
173Yb,4918.4,0.013,0.005
173Yb,4962.9,0.014,0.005
174Yb,104.526,0.43,0.11
174Yb,126.976,0.0101,0.0025
174Yb,231.502,0.06,0.008
174Yb,163.012,0.132,0.025
174Yb,267.538,0.073,0.01
174Yb,117.214,0.0065,0.0015
174Yb,280.226,0.0058,0.0025
174Yb,41.218,1.1,0.3
174Yb,556.09,0.066,0.011
174Yb,46.751,0.25,0.08
174Yb,87.969,0.26,0.06
174Yb,498.315,0.076,0.011
174Yb,602.841,0.072,0.01
174Yb,534.735,0.5,0.06
174Yb,639.261,1.43,0.17
174Yb,95.273,0.2,0.05
174Yb,142.024,0.032,0.008
174Yb,593.587,0.01,0.003
174Yb,698.113,0.009,0.003
174Yb,89.957,0.066,0.016
174Yb,126.377,0.0022,0.0008
174Yb,497.717,0.022,0.005
174Yb,624.692,0.026,0.004
174Yb,729.218,0.128,0.016
174Yb,179.396,0.0117,0.0022
174Yb,172.167,0.118,0.022
174Yb,208.587,0.0091,0.0016
174Yb,255.338,0.033,0.01
174Yb,296.556,0.0038,0.0009
174Yb,811.427,0.92,0.16
174Yb,114.966,0.004,0.0011
174Yb,204.923,0.0012,0.0005
174Yb,612.682,0.012,0.004
174Yb,142.478,0.021,0.005
174Yb,173.583,0.012,0.0023
174Yb,232.435,0.025,0.004
174Yb,315.606,0.0029,0.0007
174Yb,356.824,0.0086,0.0016
174Yb,767.169,0.151,0.025
174Yb,871.695,0.24,0.04
174Yb,317.187,0.0055,0.0012
174Yb,363.938,0.8,0.12
174Yb,405.156,0.04,0.006
174Yb,146.05,0.008,0.003
174Yb,228.26,0.004,0.0009
174Yb,259.364,0.0022,0.0005
174Yb,354.637,0.0057,0.0013
174Yb,725.975,0.015,0.005
174Yb,852.951,0.049,0.013
174Yb,957.477,0.017,0.007
174Yb,72.235,0.009,0.003
174Yb,120.568,0.004,0.003
174Yb,180.836,0.0058,0.0011
174Yb,389.422,0.032,0.005
174Yb,436.173,0.52,0.06
174Yb,477.391,0.75,0.08
174Yb,406.05,0.111,0.014
174Yb,452.8,0.019,0.003
174Yb,89.361,0.0035,0.0013
174Yb,311.276,0.26,0.04
174Yb,406.548,0.118,0.018
174Yb,453.299,0.031,0.006
174Yb,742.0,0.076,0.012
174Yb,905.0,0.045,0.012
174Yb,1009.5,0.082,0.017
174Yb,196.178,0.0017,0.0005
174Yb,428.613,0.61,0.07
174Yb,465.033,0.06,0.04
174Yb,511.784,0.34,0.05
174Yb,553.002,0.091,0.013
174Yb,111.943,0.0022,0.0007
174Yb,309.905,0.0028,0.001
174Yb,392.114,0.097,0.012
174Yb,423.219,0.045,0.007
174Yb,482.071,0.23,0.03
174Yb,518.491,0.037,0.009
174Yb,565.242,0.039,0.008
174Yb,165.367,0.0028,0.0007
174Yb,182.493,0.0086,0.0016
174Yb,476.643,0.015,0.004
174Yb,571.915,0.047,0.007
174Yb,353.114,0.013,0.006
174Yb,468.079,0.022,0.004
174Yb,558.036,0.009,0.003
174Yb,235.168,0.0014,0.0003
174Yb,288.626,0.016,0.003
174Yb,436.472,0.037,0.008
174Yb,800.409,0.111,0.016
174Yb,841.627,0.138,0.017
174Yb,170.813,0.0014,0.0005
174Yb,193.354,0.012,0.004
174Yb,246.778,0.024,0.007
174Yb,300.236,0.0043,0.0014
174Yb,358.721,0.0054,0.0012
174Yb,375.847,0.01,0.003
174Yb,496.414,0.023,0.007
174Yb,556.682,0.0078,0.0023
174Yb,812.019,0.1,0.03
174Yb,100.759,0.019,0.007
174Yb,112.37,0.0032,0.0009
174Yb,400.996,0.015,0.004
174Yb,459.48,0.013,0.003
174Yb,476.606,0.015,0.004
174Yb,548.841,0.02,0.007
174Yb,657.441,0.031,0.008
174Yb,866.027,0.017,0.007
174Yb,953.996,0.095,0.024
174Yb,487.92,0.013,0.003
174Yb,505.05,0.03,0.008
174Yb,577.28,0.046,0.008
174Yb,625.62,0.0037,0.0016
174Yb,858.05,0.045,0.01
174Yb,894.47,0.066,0.013
174Yb,941.22,0.082,0.015
174Yb,982.44,0.129,0.023
174Yb,618.09,0.02,0.004
174Yb,635.22,0.078,0.013
174Yb,707.45,0.121,0.019
174Yb,988.22,0.088,0.019
174Yb,680.17,0.034,0.006
174Yb,680.67,0.031,0.007
174Yb,697.29,0.034,0.008
174Yb,960.34,0.015,0.007
174Yb,825.22,0.154,0.024
174Yb,1378.22,0.42,0.12
174Yb,247.915,0.006,0.0011
174Yb,569.36,0.0062,0.0017
174Yb,740.17,0.038,0.011
174Yb,816.14,0.132,0.021
174Yb,869.6,0.1,0.018
174Yb,945.21,0.069,0.015
174Yb,947.01,0.076,0.012
174Yb,1005.49,0.033,0.01
174Yb,1006.0,0.054,0.017
174Yb,1022.62,0.035,0.013
174Yb,1115.5,0.11,0.03
174Yb,1187.7,0.054,0.017
174Yb,1296.3,0.046,0.017
174Yb,1122.3,0.09,0.03
174Yb,1378.7,0.046,0.017
174Yb,3632.3,0.4,0.1
174Yb,3661.2,0.043,0.01
174Yb,3714.7,0.23,0.06
174Yb,3740.8,0.043,0.01
174Yb,3757.3,0.011,0.003
174Yb,3776.2,0.04,0.01
174Yb,3782.9,0.057,0.014
174Yb,3823.8,0.026,0.006
174Yb,3842.1,0.074,0.018
174Yb,3854.4,0.085,0.016
174Yb,3885.0,0.72,0.17
174Yb,3929.3,0.38,0.09
174Yb,3978.2,0.02,0.005
174Yb,4129.6,0.026,0.006
174Yb,4138.6,0.023,0.006
174Yb,4161.9,0.014,0.003
174Yb,4174.9,0.088,0.021
174Yb,4195.0,0.058,0.014
174Yb,4272.9,0.0062,0.0015
174Yb,4325.1,0.0092,0.0022
174Yb,4353.6,0.0062,0.0015
174Yb,4454.3,0.026,0.006
174Yb,4465.9,0.04,0.01
174Yb,4701.1,0.0077,0.0018
174Yb,4830.2,0.25,0.06
174Yb,4902.4,0.0046,0.0011
174Yb,5011.0,0.18,0.04
174Yb,5266.3,1.4,0.6
174Yb,5307.5,0.02,0.005
176Yb,104.5,0.003,0.001
176Yb,125.23,0.007,0.003
176Yb,327.9,0.0037,0.001
176Yb,599.3,0.00048,0.00023
176Yb,500.9,0.0008,0.0004
176Yb,434.2,0.0013,0.0006
176Yb,491.2,0.0041,0.0019
176Yb,535.1,0.00028,0.00013
176Yb,563.3,0.0014,0.0006
176Yb,607.1,0.0016,0.0008
176Yb,574.5,0.0007,0.0003
176Yb,622.4,0.0018,0.0008
176Yb,666.3,0.0007,0.0003
176Yb,631.2,0.00017,8e-05
176Yb,699.6,0.00024,0.00011
176Yb,833.4,0.0007,0.0003
176Yb,1104.3,0.00052,0.00024
176Yb,860.2,0.0006,0.0003
176Yb,908.2,0.0006,0.0003
176Yb,952.1,0.001,0.0005
176Yb,886.8,0.00043,0.0002
176Yb,895.87,0.0009,0.0004
176Yb,943.8,0.0045,0.0021
176Yb,987.67,0.0009,0.0004
176Yb,983.2,0.001,0.0005
176Yb,1254.1,0.0006,0.0003
176Yb,549.8,0.00038,0.00018
176Yb,1162.5,0.00033,0.00016
176Yb,888.1,0.00043,0.0002
176Yb,790.9,0.002,0.001
176Yb,825.1,0.0008,0.0004
176Yb,1326.9,0.00033,0.00016
176Yb,833.9,0.0007,0.0003
176Yb,996.7,0.00038,0.00018
176Yb,1277.2,0.0007,0.0003
176Yb,1325.1,0.00021,0.0001
176Yb,1369.0,0.00049,0.00023
176Yb,328.2,0.0004,0.0005
176Yb,601.0,0.00048,0.00023
176Yb,1487.8,0.0006,0.0003
176Yb,1588.7,0.0004,0.00019
176Yb,1605.4,0.00027,0.00013
176Yb,1609.7,0.00028,0.00013
176Yb,662.4,0.0007,0.0003
176Yb,1608.5,0.00048,0.00023
176Yb,1658.6,0.00026,0.00012
176Yb,1069.8,0.0009,0.0004
176Yb,1694.5,0.00026,0.00012
176Yb,1738.3,0.00054,0.00025
176Yb,1805.4,0.00021,0.0001
176Yb,1765.9,0.00031,0.00015
176Yb,1809.7,0.0009,0.0004
176Yb,1755.4,0.0013,0.0006
176Yb,1803.3,0.001,0.0005
176Yb,1911.7,7e-05,3e-05
176Yb,2004.0,0.00034,0.00016
176Yb,2019.1,0.00048,0.00023
176Yb,2079.4,0.00038,0.00018
176Yb,2123.2,0.00043,0.00021
176Yb,2056.5,0.0009,0.0004
176Yb,2104.4,0.00031,0.00015
176Yb,2201.5,0.00034,0.00016
176Yb,2288.9,0.00038,0.00018
176Yb,2308.0,0.00046,0.00022
176Yb,2355.9,0.0003,0.00014
176Yb,2366.7,0.00053,0.00025
176Yb,2410.6,0.00034,0.00016
176Yb,2431.5,0.00032,0.00015
176Yb,2522.6,0.00031,0.00015
176Yb,2557.3,0.00045,0.00021
176Yb,2555.4,0.00049,0.00023
176Yb,2647.2,0.0006,0.0003
176Yb,2260.3,0.00043,0.0002
176Yb,2658.4,0.00045,0.00021
176Yb,2712.2,0.0006,0.0003
176Yb,2824.2,0.0007,0.0003
176Yb,3086.6,0.0015,0.0007
176Yb,3171.9,0.00045,0.00021
176Yb,3187.0,0.00046,0.00022
176Yb,3323.2,0.0008,0.0004
176Yb,3387.6,0.0036,0.0017
176Yb,3404.4,0.0006,0.0003
176Yb,3425.1,0.001,0.0005
176Yb,3498.8,0.00039,0.00019
176Yb,3534.6,0.00027,0.00013
176Yb,3545.4,0.00012,6e-05
176Yb,3646.2,0.00027,0.00013
176Yb,3740.4,0.00034,0.00016
176Yb,3865.9,0.0013,0.0006
176Yb,3907.9,0.0046,0.0022
176Yb,3974.4,0.00019,9e-05
176Yb,4150.0,0.0008,0.0004
176Yb,4207.8,0.00017,8e-05
176Yb,4247.16,0.005,0.0024
176Yb,4282.8,0.002,0.001
176Yb,4357.5,0.00034,0.00016
176Yb,4568.5,0.00036,0.00017
176Yb,4627.7,0.0022,0.0011
176Yb,4699.8,0.00038,0.00018
176Yb,4733.9,8e-05,4e-05
176Yb,4862.5,0.00017,8e-05
176Yb,5190.93,0.0002,0.0001
176Yb,5234.8,0.0005,0.00024
175Lu,184.13,0.07,0.01
175Lu,71.517,3.96,0.22
175Lu,38.746,0.38,0.12
175Lu,112.922,1.15,0.07
175Lu,114.07,0.0168,0.0025
175Lu,66.24,0.28,0.04
175Lu,104.986,0.076,0.017
175Lu,69.5,0.027,0.007
175Lu,182.422,0.46,0.1
175Lu,105.74,0.026,0.006
175Lu,144.485,0.072,0.01
175Lu,216.002,0.0091,0.0017
175Lu,73.143,0.16,0.02
175Lu,139.383,0.25,0.04
175Lu,82.001,0.012,0.004
175Lu,148.241,0.035,0.005
175Lu,186.986,0.123,0.016
175Lu,258.503,0.0046,0.0013
175Lu,81.307,0.009,0.004
175Lu,150.807,0.015,0.003
175Lu,153.467,0.55,0.05
175Lu,192.212,1.08,0.14
175Lu,263.729,0.59,0.1
175Lu,204.747,0.023,0.003
175Lu,388.876,0.0091,0.0013
175Lu,240.76,0.05,0.03
175Lu,424.89,0.021,0.003
175Lu,46.459,0.26,0.07
175Lu,133.685,0.053,0.008
175Lu,197.265,0.134,0.017
175Lu,199.925,0.032,0.004
175Lu,238.671,0.2,0.06
175Lu,310.187,1.49,0.08
175Lu,201.568,0.78,0.12
175Lu,437.349,0.0061,0.0013
175Lu,77.62,0.015,0.005
175Lu,150.763,0.026,0.004
175Lu,214.343,0.084,0.012
175Lu,217.003,0.35,0.1
175Lu,158.497,0.0091,0.0025
175Lu,227.997,0.57,0.07
175Lu,115.144,0.11,0.07
175Lu,188.287,0.29,0.04
175Lu,487.83,0.0107,0.002
175Lu,71.841,0.105,0.018
175Lu,118.299,0.0061,0.0016
175Lu,132.383,0.006,0.003
175Lu,205.526,0.0107,0.0017
175Lu,269.106,0.0061,0.0014
175Lu,271.766,0.038,0.006
175Lu,382.028,0.02,0.003
175Lu,160.598,0.0137,0.0019
175Lu,233.741,0.41,0.1
175Lu,563.942,0.51,0.04
175Lu,219.283,0.2,0.08
175Lu,90.871,0.087,0.012
175Lu,131.98,0.0061,0.0025
175Lu,158.409,0.006,0.003
175Lu,162.711,0.0122,0.0017
175Lu,296.396,0.0107,0.0015
175Lu,359.976,0.125,0.016
175Lu,147.562,0.116,0.017
175Lu,185.086,0.018,0.004
175Lu,253.848,0.0152,0.0023
175Lu,335.848,1.32,0.08
175Lu,402.088,0.0061,0.0013
175Lu,251.196,0.11,0.014
175Lu,277.683,0.2,0.06
175Lu,65.359,0.017,0.007
175Lu,169.497,0.0152,0.0023
175Lu,207.021,0.0091,0.002
175Lu,284.641,0.75,0.06
175Lu,153.563,0.041,0.006
175Lu,194.672,0.0046,0.0014
175Lu,225.403,1.73,0.08
175Lu,271.862,0.087,0.012
175Lu,285.945,0.0061,0.0011
175Lu,353.169,0.0091,0.0013
175Lu,359.088,0.043,0.006
175Lu,422.668,0.12,0.04
175Lu,425.328,0.091,0.012
175Lu,182.983,0.027,0.004
175Lu,254.823,0.023,0.003
175Lu,301.282,0.075,0.01
175Lu,452.088,0.0107,0.0015
175Lu,58.597,0.021,0.004
175Lu,221.386,0.0183,0.0025
175Lu,709.228,0.041,0.007
175Lu,246.301,0.0137,0.0019
175Lu,272.73,0.05,0.006
175Lu,119.678,0.059,0.008
175Lu,210.549,0.0152,0.0021
175Lu,342.931,0.0107,0.0017
175Lu,64.475,0.052,0.008
175Lu,218.038,0.024,0.003
175Lu,259.147,0.0122,0.0019
175Lu,285.576,0.0168,0.0023
175Lu,487.143,0.0076,0.0013
175Lu,287.364,0.0152,0.0021
175Lu,161.277,0.0091,0.0018
175Lu,287.87,0.08,0.03
175Lu,309.142,0.044,0.006
175Lu,99.0,0.1,0.04
175Lu,99.163,0.087,0.013
175Lu,435.011,0.009,0.003
175Lu,93.449,0.058,0.008
175Lu,247.012,0.008,0.003
175Lu,166.618,0.003,0.0016
175Lu,270.562,0.1,0.04
175Lu,270.756,0.0168,0.0025
175Lu,167.88,0.024,0.003
175Lu,258.75,0.0107,0.0015
175Lu,330.591,0.11,0.04
175Lu,201.742,0.0152,0.0021
175Lu,581.554,0.012,0.003
175Lu,765.684,0.08,0.03
175Lu,284.418,0.043,0.006
175Lu,399.562,0.003,0.0011
175Lu,657.334,0.026,0.012
175Lu,51.896,0.029,0.006
175Lu,129.773,0.18,0.03
175Lu,342.131,0.0061,0.0014
175Lu,410.893,0.0183,0.0025
175Lu,559.133,0.0137,0.0022
175Lu,597.879,0.0168,0.0025
175Lu,669.395,0.0076,0.002
175Lu,491.365,0.026,0.004
175Lu,559.717,0.026,0.004
175Lu,673.786,0.024,0.007
175Lu,527.131,0.026,0.006
175Lu,595.483,0.0122,0.002
175Lu,596.631,0.061,0.009
175Lu,709.553,0.21,0.07
175Lu,270.869,0.02,0.003
175Lu,834.81,0.2,0.11
175Lu,203.413,0.03,0.03
175Lu,466.118,0.003,0.0009
175Lu,115.719,0.014,0.003
175Lu,181.499,0.018,0.003
175Lu,242.887,0.003,0.0011
175Lu,274.702,0.07,0.04
175Lu,838.643,0.89,0.1
175Lu,120.499,0.049,0.006
175Lu,184.974,0.043,0.006
175Lu,247.667,0.0122,0.0017
175Lu,132.815,0.0152,0.0024
175Lu,252.493,0.009,0.003
175Lu,64.97,0.02,0.007
175Lu,429.771,0.0107,0.0017
175Lu,854.661,0.05,0.04
175Lu,145.133,0.0076,0.0021
175Lu,355.681,0.074,0.025
175Lu,423.219,0.014,0.003
175Lu,561.207,0.0122,0.0024
175Lu,624.786,0.051,0.02
175Lu,228.586,0.0046,0.0011
175Lu,361.483,0.0198,0.0025
175Lu,433.323,0.071,0.019
175Lu,479.782,0.0183,0.0025
175Lu,485.008,0.0168,0.0021
175Lu,527.509,0.32,0.05
175Lu,567.008,0.1,0.04
175Lu,633.248,0.086,0.022
175Lu,671.993,0.073,0.01
175Lu,116.206,0.027,0.004
175Lu,868.104,0.0107,0.002
175Lu,306.064,0.0091,0.0013
175Lu,870.005,0.13,0.03
175Lu,136.905,0.0061,0.0014
175Lu,214.132,0.131,0.017
175Lu,236.068,0.041,0.006
175Lu,421.153,0.0046,0.0009
175Lu,419.701,0.055,0.024
175Lu,578.198,0.2,0.08
175Lu,156.357,0.017,0.003
175Lu,185.331,0.078,0.01
175Lu,672.72,0.0107,0.0022
175Lu,676.52,0.1,0.04
175Lu,786.79,0.015,0.005
175Lu,133.252,0.0046,0.0013
175Lu,169.577,0.012,0.005
175Lu,357.533,0.0107,0.0015
175Lu,921.474,0.1,0.03
175Lu,64.395,0.014,0.007
175Lu,196.392,0.0046,0.0014
175Lu,335.007,0.0168,0.0023
175Lu,397.662,0.0061,0.0014
175Lu,425.877,0.032,0.004
175Lu,480.64,0.0122,0.0017
175Lu,549.402,0.082,0.011
175Lu,558.26,0.032,0.004
175Lu,631.402,0.053,0.023
175Lu,697.642,0.08,0.03
175Lu,736.388,0.027,0.009
175Lu,346.618,0.024,0.003
175Lu,938.403,0.014,0.003
175Lu,175.395,0.026,0.016
175Lu,222.106,0.079,0.01
175Lu,286.58,0.003,0.0014
175Lu,381.089,0.0076,0.0013
175Lu,520.401,0.023,0.003
175Lu,652.469,0.0137,0.0024
175Lu,658.389,0.017,0.003
175Lu,721.968,0.11,0.014
175Lu,724.628,0.02,0.003
175Lu,299.434,0.12,0.04
175Lu,169.676,0.044,0.006
175Lu,194.262,0.0061,0.0025
175Lu,234.975,0.0122,0.0019
175Lu,270.03,0.0107,0.0017
175Lu,299.449,0.059,0.008
175Lu,453.012,0.0122,0.0019
175Lu,520.55,0.2,0.04
175Lu,652.618,0.054,0.024
175Lu,116.775,0.0091,0.0022
175Lu,125.388,0.0076,0.002
175Lu,171.976,0.026,0.003
175Lu,301.749,0.023,0.003
175Lu,303.054,0.0061,0.0016
175Lu,573.611,0.0122,0.0019
175Lu,660.837,0.045,0.023
175Lu,727.077,0.11,0.03
175Lu,114.598,0.0061,0.002
175Lu,239.923,0.008,0.004
175Lu,398.906,0.0061,0.0011
175Lu,972.521,0.12,0.05
175Lu,239.393,0.0076,0.0013
175Lu,316.621,0.0152,0.0021
175Lu,338.556,0.07,0.03
175Lu,142.148,0.008,0.004
175Lu,251.199,0.16,0.03
175Lu,327.122,0.0076,0.0015
175Lu,328.427,0.021,0.003
175Lu,350.362,0.07,0.03
175Lu,497.924,0.0091,0.0017
175Lu,118.165,0.0015,0.0014
175Lu,392.414,0.046,0.006
175Lu,816.716,0.09,0.04
175Lu,1000.846,0.15,0.1
175Lu,134.661,0.0076,0.0023
175Lu,164.122,0.0061,0.002
175Lu,818.635,0.015,0.003
175Lu,1002.764,0.011,0.003
175Lu,565.239,0.043,0.006
175Lu,642.858,0.03,0.006
175Lu,148.663,0.0061,0.0018
175Lu,181.317,0.0091,0.0023
175Lu,362.795,0.04,0.006
175Lu,384.73,0.032,0.02
175Lu,391.9,0.0091,0.0018
175Lu,524.796,0.038,0.025
175Lu,596.636,0.062,0.022
175Lu,643.095,0.044,0.02
175Lu,730.321,0.018,0.003
175Lu,792.753,0.018,0.011
175Lu,906.822,0.02,0.007
175Lu,197.55,0.3,0.14
175Lu,244.137,0.0046,0.0019
175Lu,309.436,0.0137,0.0021
175Lu,468.419,0.0061,0.0018
175Lu,1032.359,0.037,0.006
175Lu,332.456,0.0076,0.0013
175Lu,578.756,0.038,0.006
175Lu,109.541,0.0076,0.0018
175Lu,344.5,0.0122,0.0017
175Lu,408.975,0.0091,0.0018
175Lu,471.667,0.0061,0.0011
175Lu,562.538,0.0137,0.0021
175Lu,147.519,0.034,0.011
175Lu,317.095,0.0076,0.0016
175Lu,346.069,0.0091,0.0018
175Lu,473.237,0.0046,0.0013
175Lu,239.853,0.003,0.0016
175Lu,667.374,0.05,0.006
175Lu,5234.2,0.03,0.007
175Lu,5257.33,0.026,0.006
175Lu,5269.75,0.0107,0.0025
175Lu,5301.52,0.029,0.007
175Lu,5331.8,0.16,0.04
175Lu,5331.94,0.19,0.04
175Lu,5344.66,0.024,0.006
175Lu,5368.21,0.021,0.005
175Lu,5381.43,0.03,0.007
175Lu,5406.21,0.043,0.01
175Lu,5421.58,0.0061,0.0014
175Lu,5429.12,0.024,0.006
175Lu,5446.26,0.091,0.022
175Lu,5501.46,0.029,0.007
175Lu,5537.78,0.035,0.008
175Lu,5555.5,0.015,0.004
175Lu,5566.76,0.082,0.019
175Lu,5631.23,0.035,0.008
